seed,budget_pct,method,true_labels,pseudo_labels,pseudo_label_precision,runtime_s,accuracy,macro_f1,recall_attack,roc_auc,FAR,macro_f1_gain
42,100.0,Full-label same-model ceiling,267984,0,,4.660353500000383,0.9978842257273673,0.9958860248401146,0.9985885149691702,0.9999535867070637,0.002240733906258238,
42,1.0,Few-label lower baseline,2680,0,,0.712963299999501,0.9909995634116581,0.9822357750956177,0.9576554490751059,0.9962773709225076,0.003084304318026045,
42,1.0,Pseudo-labelling,2680,5360,0.9988805970149254,2.84977600000002,0.9899808572803904,0.9801057916019887,0.9471064556867989,0.9953076782622857,0.002412084146148574,-0.0021299834936289175
42,1.0,Co-training,2680,7682,1.0,5.756259699999646,0.989745771250098,0.9796089712204885,0.9445806403684719,0.9965344281058035,0.002240733906258238,-0.0026268038751291467
42,5.0,Few-label lower baseline,13399,0,,0.8667205000001559,0.9969438816061973,0.9940183225944952,0.987445212094198,0.9996066909160259,0.0013708019191226869,
42,5.0,Pseudo-labelling,13399,26800,1.0,4.0859872999999425,0.9971229947721345,0.9943709670289338,0.9884852536958622,0.9995167490044359,0.0013444403437549428,0.00035264443443860927
42,5.0,Co-training,13399,40088,1.0,6.963270700000066,0.9968207413046155,0.9937625745187307,0.9841765099175396,0.9995061865531509,0.0009358359255549111,-0.00025574807576445036
42,10.0,Few-label lower baseline,26798,0,,0.7988191000004008,0.9968207413046155,0.9937927015110051,0.9900453160983582,0.9997411376921149,0.001977118152580798,
42,10.0,Pseudo-labelling,26798,53596,1.0,4.623941300000297,0.9974700265311377,0.995050107053411,0.9896738726691925,0.999779448732047,0.0011467285284968629,0.0012574055424059427
42,10.0,Co-training,26798,76134,0.9999474610555074,8.65088999999989,0.9972685242194584,0.9946463530014467,0.9868509026075328,0.9997065558721437,0.0008831127748194232,0.0008536514904415871
