round,threshold,class_cap,remaining_before,passed_threshold,passed_benign,accepted_benign,passed_attack,accepted_attack,accepted_after_cap,mean_confidence,pseudo_label_precision,pseudo_precision_benign,pseudo_precision_attack,seed,budget_pct,method,learner_a_passed_threshold,learner_b_passed_threshold,learner_a_accepted_after_cap,learner_b_accepted_after_cap,conflicts_rejected,accepted_unique,accepted_unique_benign,accepted_unique_attack,mean_confidence_a,mean_confidence_b,precision_a_to_b,precision_b_to_a
1,0.95,1340,265304,260380.0,223352.0,1340.0,37028.0,1340.0,2680.0,0.9996931552886963,1.0,1.0,1.0,42,1.0,Pseudo-labelling,,,,,,,,,,,,
2,0.95,1340,262624,256804.0,222176.0,1340.0,34628.0,1340.0,2680.0,0.9990742802619934,0.9977611940298508,0.9955223880597015,1.0,42,1.0,Pseudo-labelling,,,,,,,,,,,,
1,0.95,1340,265304,,,,,,,,1.0,,,42,1.0,Co-training,259740.0,259875.0,2680.0,2680.0,0.0,3606.0,1485.0,2121.0,0.9996095299720764,0.999665379524231,1.0,1.0
2,0.95,1340,261698,,,,,,,,1.0,,,42,1.0,Co-training,256946.0,257500.0,2680.0,2680.0,0.0,4076.0,2436.0,1640.0,0.9997928738594055,0.9997854828834534,1.0,1.0
1,0.95,6700,254585,251801.0,214402.0,6700.0,37399.0,6700.0,13400.0,0.9997081756591797,1.0,1.0,1.0,42,5.0,Pseudo-labelling,,,,,,,,,,,,
2,0.95,6700,241185,239003.0,208439.0,6700.0,30564.0,6700.0,13400.0,0.9999136328697205,1.0,1.0,1.0,42,5.0,Pseudo-labelling,,,,,,,,,,,,
1,0.95,6700,254585,,,,,,,,1.0,,,42,5.0,Co-training,250311.0,249061.0,13400.0,13400.0,0.0,17587.0,7786.0,9801.0,0.9993447065353394,0.9995150566101074,1.0,1.0
2,0.95,6700,236998,,,,,,,,1.0,,,42,5.0,Co-training,234177.0,232854.0,13400.0,13400.0,0.0,22501.0,11779.0,10722.0,0.9998894333839417,0.999902606010437,1.0,1.0
1,0.95,13399,241186,238211.0,202664.0,13399.0,35547.0,13399.0,26798.0,0.9990463852882385,1.0,1.0,1.0,42,10.0,Pseudo-labelling,,,,,,,,,,,,
2,0.95,13399,214388,212753.0,190621.0,13399.0,22132.0,13399.0,26798.0,0.9999076128005981,1.0,1.0,1.0,42,10.0,Pseudo-labelling,,,,,,,,,,,,
1,0.95,13399,241186,,,,,,,,1.0,,,42,10.0,Co-training,237758.0,236162.0,26798.0,26798.0,0.0,41620.0,24754.0,16866.0,0.9995771050453186,0.9998909831047058,1.0,1.0
2,0.95,13399,199566,,,,,,,,0.9998841050008692,,,42,10.0,Co-training,197205.0,195443.0,26798.0,26798.0,0.0,34514.0,20359.0,14155.0,0.9998476505279541,0.9996941089630127,0.9999626837823719,0.9998880513471154
